OTU	Status4	Status5
ead6d88f54340178be4b23e6be4ee228	Rhizosphere	No
e34d56ed3774bc35f431343639292069	Rhizosphere	No
64aee11d4912890b362e222ab0ebf605	Bulk	No
4622e9a489bfe76a042385520c126197	Phyllosphere	Also_bulk
416d770aeaeddd91d05d553065f6471a	Bulk	No
53910749d273e5ba6fd9974ea42ffc26	Rhizosphere	No
f6636d1c8f83cb2dcdc65d80cc8c48e3	Phyllosphere	Also_bulk
902a357c1696afc77c099078960f35ad	Phyllosphere	Also_bulk
c6a66bc35645ff022ba9eace03761e7f	Bulk	No
2e075886e57ed0ff08286f2325f3974d	Rhizosphere	No
a2022aad0c20a840cc6a7465388dddda	Rhizosphere	No
4c2afed56ba84711b59a4d0178beab0f	Root_endosphere	No
3c909a95f78f1fb183d8c10f33f0fbe5	Rhizosphere	No
5dce21865ce3d608a2ba90f3e5661f65	Rhizosphere	No
6143cc22344994240ed14fba2c3b9760	Root_endosphere	No
c9229d885c376c6b71655c8920e99d40	Bulk	No
e8814dcbe55b2c0cf63763db8bf156cc	Root_endosphere	No
bbf87e7471a62b4bc0aac11fca9294d9	Bulk	No
356f53b8cd970487cf2f00c86a65c36c	Rhizosphere	No
3d424450b4ff62e352865a470bd18865	Rhizosphere	No
db484155c9efcb01b5eb8aa85811bbd8	Bulk	No
d4d77f0a7e01f42bb51c8e0ddbbc3b6d	Bulk	No
7be2af1c8a66ebeb7a3ce14b713b2f55	Rhizosphere	No
5269ebe3300de2a5642ff6a1c09b3c6c	Rhizosphere	No
ee1bdeadbca0ba1cd3e6dde183136c19	Bulk	No
57869fe1353bab471c98707fe29de5b4	Bulk	No
480f23eeb44fd86619fb33a156c64c28	Rhizosphere	No
b4bbeed2dde57cece4d0fa9d8f523571	Rhizosphere	No
b04eec9634bb4bbbc4dac93adc3bff2e	Rhizosphere	No
8c9d4938d90be79d23e75353621047b7	Phyllosphere	Also_bulk
8aad0cac1311541341f6d41ca30f48a2	Bulk	No
d0a47c293570f8d463f7b3a3d094466d	Rhizosphere	No
ae7211abd5452a528bafcc1b27fa1caf	Bulk	No
72827212c66cf0d023ff9cf562c0afee	Rhizosphere	No
606c716a8df547b7556bf92d371f7530	Bulk	No
6e8a8b2fa375081ce2cffbd8f53b2c9d	Bulk	No
c95a41bf8caa8993bc8c31d50a3997cb	Bulk	No
4cdb90910395bad65136da388d564b5d	Bulk	No
5905db8bcd86dee6d1140007ef6491f7	Bulk	No
f191af971b9d5bdcbe71dcf6dc1d0dad	Root_endosphere	No
1746846f231addce92dbc9f0c200b165	Bulk	No
c0c6a66a097c720a11773546ba32f211	Bulk	No
7559f5be6520fa95f3b03ff473c9260d	Rhizosphere	No
157358958a1bddbac8acda1617734a9e	Bulk	No
2571c88f78e51692d58f077043709f4f	Bulk	No
30027a601569720d3da822bd62c29cd4	Bulk	No
bf6c0ba2b08ac2f09d1f9c1f19c426a2	Root_endosphere	No
c6fda7671b38597b3bafa96b6f7554ce	Root_endosphere	No
3775f01e569c650d12efc1bb9d578317	Root_endosphere	No
9f8aada139d8058fcb01171a1d3b6586	Bulk	No
221de0aa492cf4a6c98b98b957c8916b	Rhizosphere	No
d1d4a84570cd629bc63ade754c423648	Bulk	No
11d8419ad624aea95821d69c09f7d535	Rhizosphere	No
75a66d9c7925f3ca7d270991c480580e	Root_endosphere	No
42584d8ffac330e22bc574368c1dc301	Bulk	No
064b21b7165caa0628f42efe1985cf44	Root_endosphere	No
5d6ea8835a8e15e8aa8da601969c7c26	Bulk	No
f124b6833c6280fb6256dd3824f66ade	Bulk	No
bf1b95d178a49f6792fc7c866dd0cdea	Rhizosphere	No
859944ab62761852e05ea492de43fa8a	Bulk	No
6373d695d2e7cf58d3de20c7f9f3743a	Rhizosphere	No
a4ce32fce7104f412cbeb1d62c436f2f	Bulk	No
3a3a66ccaa957f0c69fdfd3f5f46a34b	Bulk	No
76e704d38703a0fef72213dd650b1f9e	Bulk	No
40203ef990657391f0f052bcdf059923	Rhizosphere	No
de7d8d7a8097a0ec09cd99ae586b7cac	Root_endosphere	No
bf7a5710e45415010a5d40f314317394	Bulk	No
70c34d280db3919069bff081de986b4b	Root_endosphere	No
3be259021811194c2df62ec7c540a8b5	Bulk	No
454d513c45dcd50fb3123bd82b43ff96	Rhizosphere	No
dad3f2052da10fcf05e5f9a4f8a82320	Bulk	No
0e09374b523e6df0c6848c854d6376f3	Bulk	No
6bb850ed706a8c89f98eab31faea4eb7	Bulk	No
11e1fa586e9304b3135a7bbd6b4c3ca0	Rhizosphere	No
ec26aaf2fc744fc48f97c6d91f1191d4	Root_endosphere	No
db686f2c005812d337978785b32ed40e	Rhizosphere	No
e385389b24d3b6b8de2ec78b26836ec6	Rhizosphere	No
cc85fdc75ba834f1588bb7df5539626e	Root_endosphere	No
02843088ded3971e046ddda8059a6b53	Bulk	No
677e06ece45e52bf6aaa110ed47dd859	Bulk	No
